repository,contributions,contributors,stars
r-lib/lintr,56,2,1252
ropensci/lightr,34,1,13
bisaloo/contactdata,20,3,9
r-lib/pkgdown,15,4,750
carpentries/sandpaper,11,1,47
r-lib/actions,10,2,1024
mrc-ide/EpiEstim,9,3,99
r-lib/usethis,8,2,887
ropensci/allcontributors,8,2,31
reconverse/incidence2,7,3,17
reconhub/epicontacts,6,2,16
ropensci-review-tools/babeldown,6,2,24
tobadia/R0,6,1,4
carpentries/varnish,5,1,8
ropensci/dev_guide,4,2,163
ropensci/spelling,4,2,108
carpentries/sandpaper-docs,3,1,7
carpentries/workbench,3,1,18
carpentries/workbench-template-rmd,3,2,13
r-lib/rig,3,2,789
ropensci-review-tools/pkgmatch,3,1,5
alxsrobert/o2geosocial,2,2,8
carpentries/actions,2,1,1
msberends/AMR,2,1,100
r-lib/backports,2,1,67
r-lib/roxygen2,2,1,618
ropensci/roweb3,2,2,20
SineadMorris/shinySIR,1,1,14
bernadette-eu/Bernadette,1,1,2
carpentries/commons,1,1,30
carpentries/lesson-development-training,1,1,13
carpentries/pegboard,1,1,6
mrc-ide/odin,1,1,105
nickreich/coarseDataTools,1,1,9
r-lib/commonmark,1,1,98
r-lib/httr,1,1,987
r-lib/pak,1,1,759
r-lib/pkgcache,1,1,29
r-lib/rcmdcheck,1,1,118
r-lib/remotes,1,1,351
r-lib/scales,1,1,437
r-lib/testthat,1,1,905
reconhub/incidence,1,1,57
roStats/RSurveillance,1,1,0
ropensci-review-tools/pkgcheck,1,1,24
ropensci/cffr,1,1,26
ropensci/handlr,1,1,38
ropensci/postdoc,1,1,12
ropensci/software-review,1,1,317
ropensci/tarchetypes,1,1,146
